"Date","State","Lead","Type"
2007-06-17,"6",0.01,"Non-Fire Observations"
2007-06-17,"6",0.016,"Non-Fire Observations"
2007-06-23,"6",0.02,"Non-Fire Observations"
2007-06-23,"6",0.004,"Non-Fire Observations"
2007-06-23,"6",0,"Non-Fire Observations"
2007-06-23,"6",0,"Non-Fire Observations"
2007-06-23,"6",0.0042,"Non-Fire Observations"
2007-06-23,"8",0.0061,"Non-Fire Observations"
2007-06-23,"6",0.0036,"Non-Fire Observations"
2007-06-23,"6",0.01,"Non-Fire Observations"
2007-06-23,"6",0.0059,"Non-Fire Observations"
2007-06-23,"6",0.011,"Non-Fire Observations"
2007-06-23,"6",0.0096,"Non-Fire Observations"
2007-06-23,"6",0.01,"Non-Fire Observations"
2007-06-23,"6",0.0096,"Non-Fire Observations"
2007-06-23,"6",0.0073,"Non-Fire Observations"
2007-06-23,"6",0.058,"Non-Fire Observations"
2007-06-23,"6",0.01,"Non-Fire Observations"
2007-06-23,"8",6e-04,"Non-Fire Observations"
2007-06-23,"6",0.01,"Non-Fire Observations"
2007-06-23,"6",0.01,"Non-Fire Observations"
2007-06-23,"6",0.01,"Non-Fire Observations"
2007-06-23,"6",0.02,"Non-Fire Observations"
2007-07-05,"6",0.02,"Non-Fire Observations"
2007-07-05,"6",0.04,"Non-Fire Observations"
2007-07-05,"6",0.06,"Non-Fire Observations"
2007-07-05,"6",0.044,"Non-Fire Observations"
2007-07-05,"6",0.06,"Non-Fire Observations"
2007-07-05,"6",0.06,"Non-Fire Observations"
2007-07-05,"8",0.0125,"Non-Fire Observations"
2007-07-05,"6",0.03,"Non-Fire Observations"
2007-07-05,"6",0.056,"Non-Fire Observations"
2007-07-05,"8",0.0097,"Non-Fire Observations"
2007-07-11,"6",0.02,"Non-Fire Observations"
2007-07-11,"6",0.0077,"Non-Fire Observations"
2007-07-11,"6",0.011,"Non-Fire Observations"
2007-07-11,"6",0.0073,"Non-Fire Observations"
2007-07-11,"6",0.01,"Non-Fire Observations"
2007-07-11,"6",0.02,"Non-Fire Observations"
2007-07-11,"6",0,"Non-Fire Observations"
2007-07-11,"6",0.0087,"Non-Fire Observations"
2007-07-11,"6",0.011,"Non-Fire Observations"
2007-07-11,"6",0.043,"Non-Fire Observations"
2007-07-11,"6",0.02,"Non-Fire Observations"
2007-07-11,"8",6e-04,"Non-Fire Observations"
2007-07-11,"6",0.013,"Non-Fire Observations"
2007-07-11,"6",0.013,"Non-Fire Observations"
2007-07-11,"6",0.01,"Non-Fire Observations"
2007-07-11,"6",0.02,"Non-Fire Observations"
2007-07-11,"6",0,"Non-Fire Observations"
2007-07-11,"6",0,"Non-Fire Observations"
2007-07-11,"8",0.006,"Non-Fire Observations"
2007-07-11,"6",0.01,"Non-Fire Observations"
2007-07-11,"6",0.019,"Non-Fire Observations"
2007-07-17,"6",0.0038,"Non-Fire Observations"
2007-07-17,"6",0.01,"Non-Fire Observations"
2007-07-17,"6",0,"Non-Fire Observations"
2007-07-17,"6",0,"Non-Fire Observations"
2007-07-17,"6",0,"Non-Fire Observations"
2007-07-17,"6",0.018,"Non-Fire Observations"
2007-07-17,"6",0.01,"Non-Fire Observations"
2007-07-17,"6",0.0086,"Non-Fire Observations"
2007-07-17,"6",0.03,"Non-Fire Observations"
2007-07-17,"6",0.02,"Non-Fire Observations"
2007-07-17,"6",0,"Non-Fire Observations"
2007-07-17,"6",0.02,"Non-Fire Observations"
2007-07-18,"6",0.01,"Non-Fire Observations"
2007-07-23,"6",0,"Non-Fire Observations"
2007-07-23,"8",0.0049,"Non-Fire Observations"
2007-07-23,"6",0,"Non-Fire Observations"
2007-07-23,"6",0.01,"Non-Fire Observations"
2007-07-23,"6",0.016,"Non-Fire Observations"
2007-07-23,"6",0.01,"Non-Fire Observations"
2007-07-23,"6",0.019,"Non-Fire Observations"
2007-07-23,"6",0.01,"Non-Fire Observations"
2007-07-23,"6",0.02,"Non-Fire Observations"
2007-07-23,"6",0.066,"Non-Fire Observations"
2007-07-23,"6",0.011,"Non-Fire Observations"
2007-07-23,"8",0.0054,"Non-Fire Observations"
2007-07-23,"6",0.011,"Non-Fire Observations"
2007-07-23,"6",0.024,"Non-Fire Observations"
2007-07-23,"6",0.03,"Non-Fire Observations"
2007-07-23,"6",0,"Non-Fire Observations"
2007-07-23,"6",0,"Non-Fire Observations"
2007-07-23,"6",0.075,"Non-Fire Observations"
2007-07-29,"6",0,"Non-Fire Observations"
2007-07-29,"6",0.01,"Non-Fire Observations"
2007-07-29,"6",0.0054,"Non-Fire Observations"
2007-07-29,"6",0.02,"Non-Fire Observations"
2007-07-29,"8",0.0025,"Non-Fire Observations"
2007-07-29,"6",0.014,"Non-Fire Observations"
2007-07-29,"6",0.01,"Non-Fire Observations"
2007-07-29,"6",0.0093,"Non-Fire Observations"
2007-07-29,"6",0,"Non-Fire Observations"
2007-07-29,"6",0.01,"Non-Fire Observations"
2007-07-29,"6",0.01,"Non-Fire Observations"
2007-07-29,"6",0,"Non-Fire Observations"
2007-07-29,"8",0.0025,"Non-Fire Observations"
2007-07-29,"6",0.01,"Non-Fire Observations"
2007-07-29,"6",0.0079,"Non-Fire Observations"
2007-07-29,"6",0,"Non-Fire Observations"
2007-08-04,"6",0,"Non-Fire Observations"
2007-08-04,"6",0.011,"Non-Fire Observations"
2007-08-04,"6",0.01,"Non-Fire Observations"
2007-08-04,"6",0.01,"Non-Fire Observations"
2007-08-04,"6",0.053,"Non-Fire Observations"
2007-08-04,"6",0.02,"Non-Fire Observations"
2007-08-04,"8",0.0058,"Non-Fire Observations"
2007-08-04,"6",0.0054,"Non-Fire Observations"
2007-08-04,"6",0,"Non-Fire Observations"
2007-08-04,"6",0,"Non-Fire Observations"
2007-08-04,"6",0.02,"Non-Fire Observations"
2007-08-04,"6",0,"Non-Fire Observations"
2007-08-04,"8",0.0064,"Non-Fire Observations"
2007-08-04,"6",0.01,"Non-Fire Observations"
2007-08-04,"6",0,"Non-Fire Observations"
2007-08-09,"8",0.008,"Non-Fire Observations"
2007-09-09,"6",0.02,"Non-Fire Observations"
2007-09-09,"6",0,"Non-Fire Observations"
2007-09-09,"6",0.016,"Non-Fire Observations"
2007-09-09,"6",0.01,"Non-Fire Observations"
2007-09-09,"6",0.02,"Non-Fire Observations"
2007-09-09,"6",0.01,"Non-Fire Observations"
2007-09-09,"6",0,"Non-Fire Observations"
2007-09-09,"6",0.01,"Non-Fire Observations"
2007-09-09,"6",0,"Non-Fire Observations"
2007-09-09,"6",0.01,"Non-Fire Observations"
2007-09-09,"8",0.0037,"Non-Fire Observations"
2007-09-09,"8",0.0034,"Non-Fire Observations"
2007-09-09,"6",0.01,"Non-Fire Observations"
2007-10-11,"6",0.02,"Non-Fire Observations"
2007-10-21,"6",0.0022,"Non-Fire Observations"
2007-10-21,"8",0.0022,"Non-Fire Observations"
2007-10-21,"6",0.04,"Non-Fire Observations"
2007-10-21,"6",0.02,"Non-Fire Observations"
2007-10-21,"6",0.0022,"Non-Fire Observations"
2007-10-21,"6",0.03,"Non-Fire Observations"
2007-10-21,"6",0.0017,"Non-Fire Observations"
2007-10-21,"6",0.0051,"Non-Fire Observations"
2007-10-21,"8",0.0027,"Non-Fire Observations"
2007-10-21,"6",0.0019,"Non-Fire Observations"
2007-10-21,"6",0.0029,"Non-Fire Observations"
2007-10-21,"6",0.0053,"Non-Fire Observations"
2007-10-21,"6",0.03,"Non-Fire Observations"
2007-10-21,"6",0.0035,"Non-Fire Observations"
2007-10-21,"6",0.04,"Non-Fire Observations"
2007-10-21,"6",0.02,"Non-Fire Observations"
2007-10-21,"6",0.01,"Non-Fire Observations"
2007-10-21,"6",0.0053,"Non-Fire Observations"
2007-10-21,"6",0.01,"Non-Fire Observations"
2007-10-21,"6",0.07,"Non-Fire Observations"
2007-10-27,"8",0.0046,"Non-Fire Observations"
2007-10-27,"6",0.02,"Non-Fire Observations"
2007-10-27,"6",0.05,"Non-Fire Observations"
2007-10-27,"8",0.0048,"Non-Fire Observations"
2007-10-27,"6",0.02,"Non-Fire Observations"
2007-10-27,"6",0.02,"Non-Fire Observations"
2007-10-27,"6",0.0418,"Non-Fire Observations"
2007-10-27,"6",0.01,"Non-Fire Observations"
2007-10-27,"6",0.037,"Non-Fire Observations"
2007-10-27,"6",0.01,"Non-Fire Observations"
2007-10-27,"6",0.012,"Non-Fire Observations"
2007-10-27,"6",0.0059,"Non-Fire Observations"
2007-10-27,"6",0.02,"Non-Fire Observations"
2007-10-27,"6",0.03,"Non-Fire Observations"
2007-10-27,"6",0.0051,"Non-Fire Observations"
2007-10-27,"6",0.018,"Non-Fire Observations"
2007-10-27,"6",0.01,"Non-Fire Observations"
2007-10-27,"6",0.06,"Non-Fire Observations"
2007-12-02,"6",0.0052,"Non-Fire Observations"
2007-12-02,"6",0,"Non-Fire Observations"
2007-12-02,"6",1.66,"Non-Fire Observations"
2007-12-02,"6",0.21,"Non-Fire Observations"
2007-12-02,"6",0.01,"Non-Fire Observations"
2007-12-02,"6",0.03,"Non-Fire Observations"
2007-12-02,"6",0.0029,"Non-Fire Observations"
2007-12-02,"8",0.0055,"Non-Fire Observations"
2007-12-02,"6",0.01,"Non-Fire Observations"
2007-12-02,"6",0.01,"Non-Fire Observations"
2007-12-02,"6",0,"Non-Fire Observations"
